Pdfs,Title,Subject,Solved,Total
ravnomer.pdf,Равномерное движение,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],16
ravnouskor.pdf,Равноускоренное движение,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],29
vertical.pdf,Вертикальное движение,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],26
neravnomer.pdf,Неравномерное движение,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],27
otnodvi.pdf,Относительность движения,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],35
uprugotr.pdf,Упругое отражение,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],16
ballistika.pdf,Баллистика. Координаты,Механика,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0]",46
ballisvec.pdf,Баллистика. Векторы,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],23
ballisotr.pdf,Баллистика. Отражения,Механика,[0 0 0 0 0 0 0 0 0],9
pizan.pdf,Баллистика. Относительность,Механика,[0 0 0 0 0 0 0 0 0 0 0 0],12
dviok.pdf,Движение по окружности,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],26
zakopal.pdf,Движение со связями. Кинематика,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0],13
mro.pdf,Масса и плотность,Механика,[0 0 0 0],4
zanew.pdf,Законы Ньютона,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],15
grav.pdf,Гравитация,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],37
silaupr.pdf,Сила упругости,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],25
silatren.pdf,Сила трения,Механика,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]",45
svtela.pdf,Связанные тела,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],24
naplos.pdf,Наклонная плоскость,Механика,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0]",48
kinsv.pdf,Движение со связями. Динамика,Механика,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",52
imp.pdf,Импульс,Механика,[0 0 0 0 0 0 0 0],8
sysmat.pdf,Системы материальных точек,Механика,[0 0 0 0 0],5
cmass.pdf,Центр масс,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],29
peremass.pdf,Движение тел с переменной массой,Механика,[0 0 0 0 0 0 0 0 0],9
ae.pdf,Работа и энергия,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],36
conserva.pdf,Консервативные системы,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],35
dynpend.pdf,Динамика маятника,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],23
mpet.pdf,Мёртвая петля,Механика,[0 0 0 0 0],5
sosf.pdf,Соскальзывание со сферы,Механика,[0 0 0 0 0 0 0 0 0 0 0],11
upru.pdf,Упругие взаимодействия,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],35
krivitra.pdf,Кривизна траектории,Механика,[0 0 0 0 0 0 0 0],8
neconserva.pdf,Неконсервативные системы,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],36
neupru.pdf,Неупругие взаимодействия,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],26
raspad.pdf,Распад частиц,Механика,[0 0 0 0 0 0 0],7
rasse.pdf,Рассеяние частиц,Механика,[0 0 0 0 0 0 0 0 0 0],10
nucreac.pdf,Ядерные реакции,Механика,[0 0 0 0 0 0 0 0 0 0],10
conpend.pdf,Конический маятник,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0],14
udarsil.pdf,Ударные силы,Механика,[0 0 0 0 0 0 0 0 0 0 0 0],12
statika.pdf,Статика,Механика,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",68
mevip.pdf,Метод виртуальных перемещений,Механика,[0 0 0 0 0 0 0 0],8
gs.pdf,Гидростатика,Механика,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",134
truzhi.pdf,Трубка с жидкостью,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],17
gorsilar.pdf,Горизонтальная сила Архимеда,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],16
tolkanat.pdf,Массивный канат,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],16
masspru.pdf,Массивная пружина,Механика,[0 0 0 0],4
momentsil.pdf,Момент силы,Механика,[0 0 0 0 0 0],6
vratela.pdf,Вращение твёрдого тела,Механика,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]",38
motiliq.pdf,Движение жидкости,Механика,[0 0 0 0 0 0 0],7
podobraz.pdf,Подобие и размерность,Механика,[0 0 0],3
soprosred.pdf,Сопротивление среды,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],36
avtomobil.pdf,Движение автомобиля,Механика,[0 0 0 0 0 0 0 0 0 0 0],11
velipro.pdf,Процессы и измерения,Физика 9-11,[0 0 0 0 0 0 0 0],8
difur.pdf,Дифференциальные уравнения,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],29
urkol1.pdf,Уравнение колебаний. 1,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],27
urkol2.pdf,Уравнение колебаний. 2,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],26
garmod.pdf,Гармоническое движение,Механика,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0]",48
neiso.pdf,Неинерциальные системы отсчёта,Механика,[0 0 0 0 0 0 0 0 0 0],10
mehavol.pdf,Механические волны,Механика,[0 0 0 0 0 0 0 0],8
